IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"44.215.243.237","ets-ui.services.adobe.com","Adobe Inc.","ets-ui.services.adobe.com|ets-prod-ue-bastion.services.adobe.com|ets-flow.services.adobe.com|na1e-ccx.services.adobe.com|na1e-internal.services.adobe.com|na1e-uw.services.adobe.com|identity-okta.services.adobe.com|ets-prod-uw-bastion.services.adobe.com|na1e-h.services.adobe.com|na1e-uw1-internal.services.adobe.com|etsreports.services.adobe.com|ets-prd1-bastion.services.adobe.com|na1e.services.adobe.com|ets-prod-bastion.services.adobe.com|na1e-acc.services.adobe.com|na1e-ccsdk.services.adobe.com|na1e-ue1-internal.services.adobe.com|na1e-internal.adobe-identity.com|ets-uw-bastion.services.adobe.com|na1e.adobe-identity.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.192.37.244","captivateprimeqe.adobe.com","Adobe Inc.","captivateprimeqe.adobe.com|captivateprimelrsqe.adobe.com",""
"34.192.38.112","*.demdex.com","Adobe Inc.","*.demdex.com|aam.adobe.com|audiencemanager.adobe.com|demdex.com|*.demdex.net|audience-manager.adobe.com|demdex.net",""
"34.192.79.87","adobe.io","Adobe Inc.","adobe.io|storage.adbephotos.com|*.lab.publish.adobe.io|adobecc.com|*.publish.adobe.io|mixamo.com|*.adobecontent.io|creativesdk.adobe.com|*.adobe.io|creativesdk-stage.adobe.com|*.infra.adobe.io|*.infra.private.adobe.io|presence-ue1.adobe.com|adobesc.com|*.licenses.adobe.com|*.adobecc.com|*.adobeprojectm.com|oobesaas.adobe.com|*.stage02.publish.adobe.io|livecreate-ue1.adobe.com|adobecontent.io|*.stage02.digitalpublishing.adobe.io|*.lab.digitalpublishing.adobe.io|storage.adbephotos-stage.com|*.mixamo.com|licenses.adobe.com|*.adobesc.com|*.private.adobe.io|*.oobesaas.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.192.191.9","adobe.io","Adobe Inc.","adobe.io|storage.adbephotos.com|*.lab.publish.adobe.io|adobecc.com|*.publish.adobe.io|mixamo.com|*.adobecontent.io|creativesdk.adobe.com|*.adobe.io|creativesdk-stage.adobe.com|*.infra.adobe.io|*.infra.private.adobe.io|presence-ue1.adobe.com|adobesc.com|*.licenses.adobe.com|*.adobecc.com|*.adobeprojectm.com|oobesaas.adobe.com|*.stage02.publish.adobe.io|livecreate-ue1.adobe.com|adobecontent.io|*.stage02.digitalpublishing.adobe.io|*.lab.digitalpublishing.adobe.io|storage.adbephotos-stage.com|*.mixamo.com|licenses.adobe.com|*.adobesc.com|*.private.adobe.io|*.oobesaas.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.192.232.10","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"34.192.240.109","*.campaign.adobe.com","Adobe Inc.","*.campaign.adobe.com",""
"34.192.243.111","ims-na1.adobelogin.com","Adobe Inc.","ims-na1.adobelogin.com|ims-na1-ew1-internal-i.adobelogin.com|ims-va6.adobelogin.com|ims-na1-uw2-internal.adobelogin.com|ims-na1-ue1-internal.adobelogin.com|ims-prod08.adobelogin.com|ims-or2.adobelogin.com|adoberevel.adobelogin.com|federatedid-na1-va7-internal.services.adobe.com|ims-irl1-internal.adobelogin.com|federatedid-na1-ue1-internal.services.adobe.com|ims-glb-fra8.adobelogin.com|federatedid-na1-uw2-internal-i.services.adobe.com|ims-prod09.adobelogin.com|ims-glb-irl1.adobelogin.com|delegated-ue1-internal.adobelogin.com|ims-sgp5-internal.adobelogin.com|adobeid-na1-ew1-internal.services.adobe.com|ims-na1-cc1.adobelogin.com|ims-glb-sgp3-internal.adobelogin.com|ims-na1-va7-internal.adobelogin.com|ims-prod05.adobelogin.com|services.adobelogin.com|ims-glb-va6c2-internal.adobelogin.com|ims-na1-sgp5-internal.adobelogin.com|origin-core.adobelogin.com|ims-prod02.adobelogin.com|ims-na1-va6c2-internal.adobelogin.com|ims-glb-jpn3.adobelogin.com|ims-na1-uw2-internal-experiment.adobelogin.com|ims-glb-or2-internal.adobelogin.com|adobeid-na1-i.services.adobe.com|adobeid-na1-va6c2-internal-i.services.adobe.com|adobeid-na1-sgp5-internal-i.services.adobe.com|federatedid-na1-ew1-internal-i.services.adobe.com|federatedid-na1-ew1-internal.services.adobe.com|delegated-i.adobelogin.com|ims-na1-va6c2-internal-control.adobelogin.com|ims-glb-irl1-internal.adobelogin.com|ims-va6c2.adobelogin.com|federatedid-na1-sgp5-internal-i.services.adobe.com|ims-na1-uw2-internal-control.adobelogin.com|adobeid-na1-va6c2-internal.services.adobe.com|adobeid-na1-uw2-internal.services.adobe.com|ims-glb-sgp3.adobelogin.com|ims-or2-internal.adobelogin.com|delegated-sgp5-internal.adobelogin.com|ims-na1-i.adobelogin.com|imslib.adobelogin.com|adobeid.services.adobe.com|ims-prod10.adobelogin.com|delegated.adobelogin.com|adobeid-na1-ew1-internal-i.services.adobe.com|ims-glb-nld2.adobelogin.com|ims-glb-va6-internal.adobelogin.com|ims-na1-va6c2-internal-i.adobelogin.com|ims-sgp5.adobelogin.com|ims-glb-nld2-internal.adobelogin.com|ims-na1-ew1-internal-experiment.adobelogin.com|adobeid-na1-sgp5-internal.services.adobe.com|adobeid-na1-ue1-internal-i.services.adobe.com|ims-glb-fra8-internal.adobelogin.com|adobeid-na1-va7-internal-i.services.adobe.com|imscm-prod-sgp5-internal.adobelogin.com|ims-va6-internal.adobelogin.com|adobeid-na1-va7-internal.services.adobe.com|federatedid-na1-sgp5-internal.services.adobe.com|static.adobelogin.com|ims-prod03.adobelogin.com|adobeid-na1-ue1-internal-experiment.services.adobe.com|ims-na1-dr.adobelogin.com|adobeid-na1-ue1-internal-control.services.adobe.com|adobeid-na1-ue1-internal.services.adobe.com|ims-na1-sgp5-internal-i.adobelogin.com|ims-na1-uw2-internal-i.adobelogin.com|adobeid-na1-origin.services.adobe.com|ims-va7.adobelogin.com|federatedid-na1-i.services.adobe.com|federatedid-na1-uw2-internal.services.adobe.com|adobeid-na1-uw2-internal-experiment.services.adobe.com|federatedid-na1-dr.services.adobe.com|adobe.adobelogin.com|ims-na1-ew1-internal-control.adobelogin.com|ims-na1-ue1-internal-experiment.adobelogin.com|adobeid-na1-va6c2-internal-experiment.services.adobe.com|ims-glb-or2.adobelogin.com|ims-glb-jpn3-internal.adobelogin.com|ims-prod07.adobelogin.com|adobeid-na1-va6c2-internal-control.services.adobe.com|ims-prod06.adobelogin.com|ims-sgp3-internal.adobelogin.com|adobeid-na1-dr.services.adobe.com|adobeid-na1-uw2-internal-i.services.adobe.com|ims-glb-aus3.adobelogin.com|adobeid-na1-uw2-internal-control.services.adobe.com|ims-prod01.adobelogin.com|ims-irl1.adobelogin.com|ims-na1-ue1-internal-control.adobelogin.com|ims-na1-va7-internal-i.adobelogin.com|ims-glb-va6.adobelogin.com|ims-glb-va6c2.adobelogin.com|ims-na1-beta1.adobelogin.com|adobeid-na1-ew1-internal-control.services.adobe.com|federatedid-na1.services.adobe.com|ims-va7-internal.adobelogin.com|ims-na1-ew1-internal.adobelogin.com|adobeid-na1.services.adobe.com|adobeid-na1-ew1-internal-experiment.services.adobe.com|federatedid-na1-va7-internal-i.services.adobe.com|ims-na1-ue1-internal-i.adobelogin.com|ims-glb-aus3-internal.adobelogin.com|federatedid-na1-ue1-internal-i.services.adobe.com|ims-prod04.adobelogin.com|ims-na1-origin.adobelogin.com|ims-na1-va6c2-internal-experiment.adobelogin.com|ims-sgp3.adobelogin.com|delegated-ue1-internal-i.adobelogin.com|delegated-sgp5-internal-i.adobelogin.com",""
"34.193.13.20","adobe.io","Adobe Inc.","adobe.io|storage.adbephotos.com|*.lab.publish.adobe.io|adobecc.com|*.publish.adobe.io|mixamo.com|*.adobecontent.io|creativesdk.adobe.com|*.adobe.io|creativesdk-stage.adobe.com|*.infra.adobe.io|*.infra.private.adobe.io|presence-ue1.adobe.com|adobesc.com|*.licenses.adobe.com|*.adobecc.com|*.adobeprojectm.com|oobesaas.adobe.com|*.stage02.publish.adobe.io|livecreate-ue1.adobe.com|adobecontent.io|*.stage02.digitalpublishing.adobe.io|*.lab.digitalpublishing.adobe.io|storage.adbephotos-stage.com|*.mixamo.com|licenses.adobe.com|*.adobesc.com|*.private.adobe.io|*.oobesaas.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.193.54.33","adobe.io","Adobe Inc.","adobe.io|storage.adbephotos.com|*.lab.publish.adobe.io|adobecc.com|*.publish.adobe.io|mixamo.com|*.adobecontent.io|creativesdk.adobe.com|*.adobe.io|creativesdk-stage.adobe.com|*.infra.adobe.io|*.infra.private.adobe.io|presence-ue1.adobe.com|adobesc.com|*.licenses.adobe.com|*.adobecc.com|*.adobeprojectm.com|oobesaas.adobe.com|*.stage02.publish.adobe.io|livecreate-ue1.adobe.com|adobecontent.io|*.stage02.digitalpublishing.adobe.io|*.lab.digitalpublishing.adobe.io|storage.adbephotos-stage.com|*.mixamo.com|licenses.adobe.com|*.adobesc.com|*.private.adobe.io|*.oobesaas.adobe.com",""IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
