IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"34.209.224.10","linkiq-public.production.linktr.ee","","linkiq-public.production.linktr.ee",""
"34.210.44.69","linkiq-public.qa.linktr.ee","","linkiq-public.qa.linktr.ee",""
"34.210.96.10","gtm-cloud.production.linktr.ee","","gtm-cloud.production.linktr.ee",""
"34.211.137.52","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"34.212.239.68","airbyte.qa.linktr.ee","","airbyte.qa.linktr.ee",""
"54.203.107.27","datagrail.userdatamgmt.production.linktr.ee","","datagrail.userdatamgmt.production.linktr.ee",""
"52.36.67.166","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"52.36.243.138","chat-mcp.production.linktr.ee","","chat-mcp.production.linktr.ee",""
"52.37.193.49","link-types.qa.linktr.ee","","link-types.qa.linktr.ee",""
"52.38.31.234","profiles-api.production.linktr.ee","","profiles-api.production.linktr.ee",""
"52.38.57.240","public.ltauth.production.linktr.ee","","public.ltauth.production.linktr.ee",""
"52.38.199.155","commerce-affiliate.qa.linktr.ee","","commerce-affiliate.qa.linktr.ee",""
"52.38.205.72","followers.production.linktr.ee","","followers.production.linktr.ee",""
"52.38.208.180","datagrail.userdatamgmt.production.linktr.ee","","datagrail.userdatamgmt.production.linktr.ee",""
"52.39.237.129","profiles-api.production.linktr.ee","","profiles-api.production.linktr.ee",""
"50.112.197.65","chat-public.qa.linktr.ee","","chat-public.qa.linktr.ee",""
"16.144.164.93","chat-mcp-openai-app.qa.linktr.ee","","chat-mcp-openai-app.qa.linktr.ee",""
"52.25.204.115","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"52.27.173.63","link-types.production.linktr.ee","","link-types.production.linktr.ee",""
"52.27.234.26","followers.production.linktr.ee","","followers.production.linktr.ee",""
"52.88.130.128","matching.qa.linktr.ee","","matching.qa.linktr.ee",""
"52.89.2.155","gtm-cloud.production.linktr.ee","","gtm-cloud.production.linktr.ee",""
"16.145.104.24","notifications-webhook.production.linktr.ee","","notifications-webhook.production.linktr.ee",""
"16.145.144.167","userinfo.qa.linktr.ee","","userinfo.qa.linktr.ee",""
"16.145.163.128","matching.production.linktr.ee","","matching.production.linktr.ee",""
"16.147.112.141","userinfo.qa.linktr.ee","","userinfo.qa.linktr.ee",""
"16.147.124.106","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"16.147.140.1","gtm-preview.qa.linktr.ee","","gtm-preview.qa.linktr.ee",""
"16.147.169.159","linkiq-public.qa.linktr.ee","","linkiq-public.qa.linktr.ee",""
"16.147.176.59","gtm-preview.production.linktr.ee","","gtm-preview.production.linktr.ee",""
"52.40.36.130","backstage.platform.linktr.ee","","backstage.platform.linktr.ee",""
"52.41.60.96","airbyte.qa.linktr.ee","","airbyte.qa.linktr.ee",""
"52.41.104.97","datagrail.userdatamgmt.qa.linktr.ee","","datagrail.userdatamgmt.qa.linktr.ee",""
"52.41.124.88","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"52.41.182.190","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"52.42.94.241","lttransactions.qa.linktr.ee","","lttransactions.qa.linktr.ee",""
"52.42.119.23","linktr.ee","","linktr.ee|*.linktr.ee",""
"52.43.15.144","public.ltauth.qa.linktr.ee","","public.ltauth.qa.linktr.ee",""
"54.188.50.66","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"54.188.162.88","chat-mcp-openai-app.qa.linktr.ee","","chat-mcp-openai-app.qa.linktr.ee",""
"54.189.249.53","userinfo.production.linktr.ee","","userinfo.production.linktr.ee",""
"54.190.173.106","chat-mcp.qa.linktr.ee","","chat-mcp.qa.linktr.ee",""
"54.190.245.155","linktr.ee","","linktr.ee|*.linktr.ee",""
"35.155.18.85","profiles-api.production.linktr.ee","","profiles-api.production.linktr.ee",""
"52.32.102.109","airbyte.qa.linktr.ee","","airbyte.qa.linktr.ee",""
"52.33.17.50","matching.qa.linktr.ee","","matching.qa.linktr.ee",""
"52.33.166.249","profiles-api.qa.linktr.ee","","profiles-api.qa.linktr.ee",""
"52.33.196.113","maestro.qa.linktr.ee","","maestro.qa.linktr.ee",""
"52.34.2.174","public.ltauth.production.linktr.ee","","public.ltauth.production.linktr.ee",""
"52.34.124.185","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"52.34.206.41","commerce-affiliate.qa.linktr.ee","","commerce-affiliate.qa.linktr.ee",""
"52.35.9.55","notifications-webhook.production.linktr.ee","","notifications-webhook.production.linktr.ee",""
"52.35.202.188","*.linktr.ee","","*.linktr.ee|linktr.ee",""
"54.186.68.124","profiles-api.qa.linktr.ee","","profiles-api.qa.linktr.ee",""
"54.187.183.126","userinfo.qa.linktr.ee","","userinfo.qa.linktr.ee",""
"54.187.198.241","notifications-webhook.qa.linktr.ee","","notifications-webhook.qa.linktr.ee",""
"54.187.214.249","airbyte.qa.linktr.ee","","airbyte.qa.linktr.ee",""
"52.11.95.62","shopify-commerce.qa.linktr.ee","","shopify-commerce.qa.linktr.ee",""
"52.11.103.88","userinfo.qa.linktr.ee","","userinfo.qa.linktr.ee",""
"52.11.198.87","shopify-commerce.qa.linktr.ee","","shopify-commerce.qa.linktr.ee",""
"52.11.203.17","linktr.ee","","linktr.ee|*.linktr.ee",""
"54.188.35.240","chat-mcp.production.linktr.ee","","chat-mcp.production.linktr.ee",""
"54.188.162.88","chat-mcp-openai-app.qa.linktr.ee","","chat-mcp-openai-app.qa.linktr.ee",""
"54.189.249.53","userinfo.production.linktr.ee","","userinfo.production.linktr.ee",""
"54.190.173.106","chat-mcp.qa.linktr.ee","","chat-mcp.qa.linktr.ee",""
"54.190.245.155","linktr.ee","","linktr.ee|*.linktr.ee",""
