IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"54.217.71.146","kube-apiserver","","","","","db876b22a9e47400ac2992af9dee6918.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-169-236.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.34.87|172.16.169.236","false"
"54.217.71.159","sportson.qa.grebban.com","","","","","sportson.qa.grebban.com|*.sportson.qa.grebban.com","","false"
"54.217.71.156","jumia.com","","","","","jumia.com|*.food.jumia.ci|*.food.jumia.co.ke|*.food.jumia.com|*.food.jumia.com.dz|*.food.jumia.com.eg|*.food.jumia.com.gh|*.food.jumia.com.ng|*.food.jumia.com.tn|*.food.jumia.dz|*.food.jumia.ma|*.food.jumia.sn|*.food.jumia.ug|*.jumia.com|*.jumia.com.ng|*.mds.jumia.com|*.staging.food.jumia.ci|*.staging.food.jumia.co.ke|*.staging.food.jumia.com|*.staging.food.jumia.com.dz|*.staging.food.jumia.com.eg|*.staging.food.jumia.com.gh|*.staging.food.jumia.com.ng|*.staging.food.jumia.com.tn|*.staging.food.jumia.dz|*.staging.food.jumia.ma|*.staging.food.jumia.sn|*.staging.food.jumia.ug","","false"
"54.217.71.168","*.o3n.io","","","","","*.o3n.io|o3n.io","","false"
"54.217.71.175","api-prod.gls.pearson-intl.com","Pearson PLC","GB","","London","api-prod.gls.pearson-intl.com|acr-prod.gls.pearson-intl.com|acr-prod.pearson-intl.com|api-bookshelf-prod.gls.pearson-intl.com|api-externalprod.gls.pearson-intl.com|api-externalsin-prod.gls.pearson-intl.com|api-prod-ingest-au.gls.pearson-intl.com|api-prod-ingest-in.gls.pearson-intl.com|api-prod-ingest-italy.gls.pearson-intl.com|api-prod-ingest.gls.pearson-intl.com|api-rumba-prod.gls.pearson-intl.com|api-sin-prod.gls.pearson-intl.com|digital-library.pearson-intl.com|digital-library.pearson.com|foxit-aws.gls.pearson-intl.com|foxit-prod-ingest-au.gls.pearson-intl.com|foxit-prod-ingest-in.gls.pearson-intl.com|foxit-prod-ingest-italy.gls.pearson-intl.com|foxit-prod-ingest.gls.pearson-intl.com|foxit-prod.gls.pearson-intl.com|foxit-sin-prod.gls.pearson-intl.com|portal-prod-ingest-au.gls.pearson-intl.com|portal-prod-ingest-in.gls.pearson-intl.com|portal-prod-ingest-italy.gls.pearson-intl.com|portal-prod-ingest.gls.pearson-intl.com|portal-prod.gls.pearson-intl.com|portal-sin-prod.gls.pearson-intl.com|reader-foxit-prod.gls.pearson-intl.com|reader-foxit.gls.pearson-intl.com|reader-library-prod.gls.pearson-intl.com|reader-prod.gls.pearson-intl.com|reader-sin-prod.gls.pearson-intl.com|rplusplayer-prod.gls.pearson-intl.com|rplusplayer-sin-prod.gls.pearson-intl.com|spark.pearson.com","","false"
"54.217.71.187","sandbox.jugo.io","","","","","sandbox.jugo.io|*.sandbox.jugo.io","","false"
"54.217.71.188","*.mostaql.com","","","","","*.mostaql.com|mostaql.com","","false"
"54.217.71.224","*.sb9549ggq8ftk.eu-west-1.cs.amazonlightsail.com","","","","","*.sb9549ggq8ftk.eu-west-1.cs.amazonlightsail.com","","false"
"54.217.71.253","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.71.255","www.bipoptimizer.com","","","","","www.bipoptimizer.com|bipoptimizer.com","","false"
"54.217.72.6","clientapi-eks-dev.arlo.com","","","","","clientapi-eks-dev.arlo.com","","false"
"54.217.72.11","semserver.net","","","","","semserver.net|*.semserver.net","","false"
"54.217.72.14","api.eu-west-1.ff.prod.search-services.aws.a2z.com","","","","","api.eu-west-1.ff.prod.search-services.aws.a2z.com","","false"
"54.217.72.15","EC2AMAZ-J39822A","","","","","","","true"
"54.217.72.13","kube-apiserver","","","","","03e74ccd510dac182aeec3bc2b93e753.yl4.eu-west-1.eks.amazonaws.com|ip-10-0-44-177.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.2.163|10.0.44.177","false"
"54.217.72.18","*.eu-west-1.es.amazonaws.com","","","","","*.eu-west-1.es.amazonaws.com","","false"
"54.217.72.21","*.tridion.sdlproducts.com","","","","","*.tridion.sdlproducts.com|tridion.sdlproducts.com","","false"
"54.217.72.31","sh2.api.ftpub.net","","","","","sh2.api.ftpub.net","","false"
"54.217.72.36","kube-apiserver","","","","","c633c9dadd7918a25bd916b2b9aaabd0.yl4.eu-west-1.eks.amazonaws.com|ip-172-16-115-2.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","fd24:f605:bc65::1|2a13:27c0:1c:b06::c7a0|172.16.115.2","false"
"54.217.72.35","*.injixo.com","","","","","*.injixo.com|injixo.com","","false"
"54.217.72.49","kube-apiserver","","","","","1465da7e3c6f710b1d0485630538f107.gr7.eu-west-1.eks.amazonaws.com|ip-172-16-100-198.eu-west-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.51.2.156|172.16.100.198","false"
"54.217.72.56","localhost.localdomain","SomeOrganization","--","SomeCity","SomeState","","","true"
"54.217.72.65","*.stocardapp.com","","","","","*.stocardapp.com|*.stocard-backend.com|*.stocard.de","","false"
"54.217.72.83","zendesk-pci-test-2.intelligentvoice.com","","","","","zendesk-pci-test-2.intelligentvoice.com","","false"
"54.217.72.91","*.dev.preprod-trace-cloud.tv","","","","","*.dev.preprod-trace-cloud.tv","","false"
"54.217.72.102","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.72.108","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"54.217.72.110","api.production.amersports.fluentcommerce.com","","","","","api.production.amersports.fluentcommerce.com|api.internal.production.amersports.fluentcommerce.com|*.api.production.amersports.fluentcommerce.com|*.api.internal.production.amersports.fluentcommerce.com|api.fluentretail.com|*.api.fluentretail.com","","false"
